挨着	挨著	ai1zhe5	āizhe	sát bên; kề bên
剑	劍	jian4	jiàn	kiếm; thanh kiếm
鉴定	鑑定	jian4ding4	jiàndìng	giám định; thẩm định
箭	箭	jian4	jiàn	mũi tên
将军	將軍	jiang1jun1	jiāngjūn	tướng quân; vị tướng
讲课	講課	jiang3ke4	jiǎngkè	giảng bài; lên lớp
酱	醬	jiang4	jiàng	tương; nước xốt đặc
酱油	醬油	jiang4you2	jiàngyóu	xì dầu; nước tương
骄傲	驕傲	jiao1ao4	jiāoào	tự hào; kiêu ngạo
焦点	焦點	jiao1dian3	jiāodiǎn	tiêu điểm; trọng tâm chú ý
脚印	腳印	jiao3yin4	jiǎoyìn	dấu chân
觉	覺	jue2	jué	cảm thấy; thấy rằng
教堂	教堂	jiao4tang2	jiàotáng	nhà thờ
教育部	教育部	Jiao4yu4bu4	Jiàoyùbù	Bộ Giáo dục
接收	接收	jie1shou1	jiēshōu	tiếp nhận; thu (tín hiệu)
揭	揭	jie1	jiē	mở ra; bóc; vạch trần
街头	街頭	jie1tou2	jiētóu	đầu phố; ngoài phố
节假日	節假日	jie2jia4ri4	jiéjiàrì	ngày lễ tết; ngày nghỉ lễ
节能	節能	jie2neng2	jiénéng	tiết kiệm năng lượng
节奏	節奏	jie2zou4	jiézòu	nhịp điệu; tiết tấu
杰出	傑出	jie2chu1	jiéchū	kiệt xuất; xuất sắc
截止	截止	jie2zhi3	jiézhǐ	kết thúc; hết hạn
截至	截至	jie2zhi4	jiézhì	tính đến (thời điểm)
解	解	jie3	jiě	giải; tháo gỡ; giải thích
解说	解說	jie3shuo1	jiěshuō	thuyết minh; bình luận (trận đấu)
界	界	jie4	jiè	ranh giới; phạm vi | giới (giới văn nghệ, giới khoa học)
借鉴	借鑒	jie4jian4	jièjiàn	học hỏi kinh nghiệm; tham khảo
金额	金額	jin1e2	jīné	số tiền; kim ngạch
金钱	金錢	jin1qian2	jīnqián	tiền bạc; tiền tài
金融	金融	jin1rong2	jīnróng	tài chính; tiền tệ
尽	盡	jin4	jìn	hết; dùng hết; tận
进攻	進攻	jin4gong1	jìngōng	tấn công; tiến công
近日	近日	jin4ri4	jìnrì	mấy hôm nay; gần đây
近视	近視	jin4shi4	jìnshì	cận thị
惊人	驚人	jing1ren2	jīngrén	đáng kinh ngạc; kinh người
惊喜	驚喜	jing1xi3	jīngxǐ	bất ngờ vui mừng; ngạc nhiên thích thú
精	精	jing1	jīng	tinh túy, tinh chất; tinh thông
精美	精美	jing1mei3	jīngměi	tinh xảo; đẹp tinh tế
精品	精品	jing1pin3	jīngpǐn	hàng cao cấp; tác phẩm tinh túy
井	井	jing3	jǐng	giếng; ngăn nắp
景	景	jing3	jǐng	cảnh; phong cảnh; tình cảnh
景点	景點	jing3dian3	jǐngdiǎn	điểm du lịch; thắng cảnh
净	淨	jing4	jìng	sạch; thuần; toàn là
纠纷	糾紛	jiu1fen1	jiūfēn	tranh chấp; xích mích
纠正	糾正	jiu1zheng4	jiūzhèng	sửa chữa; uốn nắn
酒水	酒水	jiu3shui3	jiǔshuǐ	đồ uống; rượu và nước giải khát
救命	救命	jiu4ming4	jiùmìng	cứu mạng; cứu với!
救援	救援	jiu4yuan2	jiùyuán	cứu viện; cứu hộ
救助	救助	jiu4zhu4	jiùzhù	cứu giúp; trợ giúp
就是说	就是說	jiu4shi4shuo1	jiùshìshuō	tức là; nói cách khác
就算	就算	jiu4suan4	jiùsuàn	cho dù; dù cho
剧	劇	ju4	jù	kịch; vở diễn; kịch liệt
据	據	ju4	jù	căn cứ vào; dựa theo
捐	捐	juan1	juān	quyên góp; hiến tặng
捐款	捐款	juan1kuan3	juānkuǎn	quyên tiền; tiền quyên góp
捐赠	捐贈	juan1zeng4	juānzèng	quyên tặng; hiến tặng
捐助	捐助	juan1zhu4	juānzhù	quyên góp giúp đỡ; ủng hộ
决策	決策	jue2ce4	juécè	quyết sách; ra quyết định
觉悟	覺悟	jue2wu4	juéwù	giác ngộ; nhận thức ra
绝	絕	jue2	jué	tuyệt; dứt; tuyệt chủng
绝大多数	絕大多數	jue2da4duo1shu4	juédàduōshù	tuyệt đại đa số; phần lớn
军队	軍隊	jun1dui4	jūnduì	quân đội
军舰	軍艦	jun1jian4	jūnjiàn	tàu chiến; chiến hạm
军事	軍事	jun1shi4	jūnshì	quân sự
开创	開創	kai1chuang4	kāichuàng	khai sáng; mở ra; sáng lập
开关	開關	kai1guan1	kāiguān	công tắc; cầu dao
开设	開設	kai1she4	kāishè	mở (cửa hàng, lớp học); thiết lập
开通	開通	kai1tong1	kāitōng	khai thông; mở (tuyến, dịch vụ)
开头	開頭	kai1tou2	kāitóu	mở đầu; bắt đầu
开夜车	開夜車	kai1ye4che1	kāiyèchē	thức đêm làm việc; học khuya
看管	看管	kan1guan3	kānguǎn	trông coi; trông giữ
看得见	看得見	kan4de2jian4	kàndéjiàn	nhìn thấy được
看得起	看得起	kan4de5qi3	kàndeqǐ	coi trọng; nể trọng
看好	看好	kan4hao3	kànhǎo	trông coi cẩn thận; đánh giá cao, xem là có triển vọng
看作	看作	kan4zuo4	kànzuò	coi như; xem là
康复	康復	kang1fu4	kāngfù	hồi phục sức khỏe; bình phục
抗议	抗議	kang4yi4	kàngyì	phản đối; kháng nghị
考场	考場	kao3chang3	kǎochǎng	phòng thi; trường thi
考题	考題	kao3ti2	kǎotí	đề thi; câu hỏi thi
科研	科研	ke1yan2	kēyán	nghiên cứu khoa học
客车	客車	ke4che1	kèchē	xe khách; toa khách
肯	肯	ken3	kěn	chịu; bằng lòng; sẵn lòng
空军	空軍	kong1jun1	kōngjūn	không quân
口试	口試	kou3shi4	kǒushì	thi vấn đáp; thi nói
扣	扣	kou4	kòu	cài, gài; khấu trừ; cái khuy
酷	酷	ku4	kù	ngầu; tàn khốc
跨	跨	kua4	kuà	bước qua; vượt qua; xuyên (khu vực)
快车	快車	kuai4che1	kuàichē	xe tốc hành; tàu nhanh
宽阔	寬闊	kuan1kuo4	kuānkuò	rộng rãi; rộng lớn
矿	礦	kuang4	kuàng	mỏ; quặng; khoáng sản
阔	闊	kuo4	kuò	rộng; giàu có
啦	啦	la1	lā	(trợ từ ngữ khí, hợp âm của 了 và 啊)
来往	來往	lai2wang3	láiwǎng	đi lại; qua lại; giao thiệp
赖	賴	lai4	lài	ỷ lại, dựa dẫm; đổ vạ; lì ra
栏目	欄目	lan2mu4	lánmù	chuyên mục; mục (báo, truyền hình)
蓝领	藍領	lan2ling3	lánlǐng	công nhân lao động chân tay; giới cổ cồn xanh
蓝天	藍天	lan2tian1	lántiān	bầu trời xanh
懒	懶	lan3	lǎn	lười; lười biếng
牢	牢	lao2	láo	chắc chắn; vững; nhà tù
老乡	老鄉	lao3xiang1	lǎoxiāng	đồng hương; người cùng quê
冷气	冷氣	leng3qi4	lěngqì	máy lạnh; hơi lạnh
冷水	冷水	leng3shui3	lěngshuǐ	nước lạnh; nước lã
礼堂	禮堂	li3tang2	lǐtáng	hội trường; giảng đường
理	理	li3	lǐ	lý lẽ; để ý đến; sắp xếp
理财	理財	li3cai2	lǐcái	quản lý tài chính; quản lý tiền bạc
理智	理智	li3zhi4	lǐzhì	lý trí; tỉnh táo
利	利	li4	lì	lợi ích; sắc bén; lãi
联盟	聯盟	lian2meng2	liánméng	liên minh; liên hiệp
联赛	聯賽	lian2sai4	liánsài	giải đấu; giải vô địch
联手	聯手	lian2shou3	liánshǒu	hợp tác; bắt tay nhau
凉鞋	涼鞋	liang2xie2	liángxié	dép xăng đan
两侧	兩側	liang3ce4	liǎngcè	hai bên; hai phía
两手	兩手	liang3shou3	liǎngshǒu	hai tay; hai cách (chuẩn bị)
聊	聊	liao2	liáo	trò chuyện; tán gẫu
聊天儿	聊天兒	liao2tian1r5	liáotiānr	trò chuyện; tán gẫu
料	料	liao4	liào	vật liệu, nguyên liệu | đoán trước, liệu trước
裂	裂	lie4	liè	nứt; nứt vỡ; tách ra
灵活	靈活	ling2huo2	línghuó	linh hoạt; nhanh nhẹn
领取	領取	ling3qu3	lǐngqǔ	lĩnh; nhận (tiền, giấy tờ)
领袖	領袖	ling3xiu4	lǐngxiù	lãnh tụ; lãnh đạo
另	另	ling4	lìng	khác; riêng
留言	留言	liu2yan2	liúyán	để lại lời nhắn; lời nhắn
流感	流感	liu2gan3	liúgǎn	cúm; bệnh cúm
楼道	樓道	lou2dao4	lóudào	hành lang; lối đi trong tòa nhà
楼房	樓房	lou2fang2	lóufáng	nhà lầu; nhà nhiều tầng
露	露	lu4, lou4	lù, lòu	sương; lộ ra, để lộ | lộ, hở (khẩu ngữ)
陆军	陸軍	lu4jun1	lùjūn	lục quân
录像	錄像	lu4xiang4	lùxiàng	quay video; đoạn ghi hình
录音机	錄音機	lu4yin1ji1	lùyīnjī	máy ghi âm
路过	路過	lu4guo4	lùguò	đi ngang qua; ghé qua
旅店	旅店	lü3dian4	lǚdiàn	nhà trọ; khách sạn nhỏ
绿化	綠化	lü4hua4	lǜhuà	phủ xanh; trồng cây xanh
马车	馬車	ma3che1	mǎchē	xe ngựa
嘛	嘛	ma5	ma	(trợ từ ngữ khí, chỉ điều hiển nhiên) mà, chứ
埋	埋	mai2	mái	chôn; vùi lấp
馒头	饅頭	man2tou5	mántou	bánh bao chay; màn thầu
慢车	慢車	man4che1	mànchē	tàu chợ; xe chạy chậm dừng nhiều ga
盲人	盲人	mang2ren2	mángrén	người mù; người khiếm thị
梅花	梅花	mei2hua1	méihuā	hoa mai; hoa mơ
美容	美容	mei3rong2	měiróng	làm đẹp; thẩm mỹ
蒙	蒙	meng2, meng1	méng, mēng	che, trùm; chịu (ơn) | lừa gạt; choáng váng
猛	猛	meng3	měng	mạnh; dữ dội; đột ngột
棉	棉	mian2	mián	bông; bằng bông
免得	免得	mian3de5	miǎnde	kẻo; để khỏi; tránh việc
面对面	面對面	mian4dui4mian4	miànduìmiàn	mặt đối mặt; trực tiếp
面向	面嚮	mian4xiang4	miànxiàng	hướng về; nhắm tới (đối tượng)
妙	妙	miao4	miào	hay; tuyệt; khéo
灭	滅	mie4	miè	dập tắt; tắt; tiêu diệt
民歌	民歌	min2ge1	míngē	dân ca
民工	民工	min2gong1	míngōng	lao động nhập cư; dân công
民警	民警	min2jing3	mínjǐng	cảnh sát nhân dân
民意	民意	min2yi4	mínyì	dân ý; ý nguyện của dân
民主	民主	min2zhu3	mínzhǔ	dân chủ
名额	名額	ming2e2	míngé	chỉ tiêu; suất
名胜	名勝	ming2sheng4	míngshèng	danh lam thắng cảnh
名义	名義	ming2yi4	míngyì	danh nghĩa
名誉	名譽	ming2yu4	míngyù	danh dự; danh tiếng
明日	明日	ming2ri4	míngrì	ngày mai
命	命	ming4	mìng	mạng sống; số phận; lệnh
膜	膜	mo2	mó	màng; lớp màng
磨	磨	mo2	mó	mài; xay; giày vò
没收	沒收	mo4shou1	mòshōu	tịch thu
墨水	墨水	mo4shui3	mòshuǐ	mực (viết)
母	母	mu3	mǔ	mẹ; giống cái; gốc
母鸡	母雞	mu3ji1	mǔjī	gà mái
母女	母女	mu3nü3	mǔnǚ	mẹ và con gái
母子	母子	mu3zi3	mǔzǐ	mẹ và con trai
墓	墓	mu4	mù	mộ; mồ mả
拿走	拿走	na2zou3	názǒu	lấy đi; mang đi
奶粉	奶粉	nai3fen3	nǎifěn	sữa bột
奶牛	奶牛	nai3niu2	nǎiniú	bò sữa
难忘	難忘	nan2wang4	nánwàng	khó quên; đáng nhớ
内地	內地	nei4di4	nèidì	nội địa; vùng trong nước
内外	內外	nei4wai4	nèiwài	trong và ngoài; khoảng chừng
内衣	內衣	nei4yi1	nèiyī	đồ lót; áo lót
能否	能否	neng2fou3	néngfǒu	có thể... hay không
泥	泥	ni2	ní	bùn; đất sét
扭	扭	niu3	niǔ	vặn; xoay; trẹo (chân)
排行榜	排行榜	pai2hang2bang3	páihángbǎng	bảng xếp hạng
派出	派出	pai4chu1	pàichū	cử đi; phái đi
判	判	pan4	pàn	phán xử; xét xử; phân biệt rõ
盼望	盼望	pan4wang4	pànwàng	mong mỏi; trông mong
泡	泡	pao4	pào	ngâm; pha (trà); bọt, bong bóng
炮	炮	pao4	pào	đại bác; pháo
陪同	陪同	pei2tong2	péitóng	đi cùng; tháp tùng
配置	配置	pei4zhi4	pèizhì	bố trí; cấu hình
皮球	皮球	pi2qiu2	píqiú	quả bóng (cao su)
偏	偏	pian1	piān	lệch; nghiêng; thiên vị
贫困	貧困	pin2kun4	pínkùn	nghèo khó; bần cùng
品牌	品牌	pin3pai2	pǐnpái	thương hiệu; nhãn hiệu
聘请	聘請	pin4qing3	pìnqǐng	mời (làm việc); tuyển dụng
平凡	平凡	ping2fan2	píngfán	bình thường; tầm thường
平方米	平方米	ping2fang1mi3	píngfāngmǐ	mét vuông
平衡	平衡	ping2heng2	pínghéng	cân bằng; thăng bằng
平台	平臺	ping2tai2	píngtái	nền tảng; bệ, sân thượng
评	評	ping2	píng	bình luận; đánh giá; phê bình
评选	評選	ping2xuan3	píngxuǎn	bình chọn; bầu chọn
屏幕	屏幕	ping2mu4	píngmù	màn hình
坡	坡	po1	pō	dốc; sườn dốc
扑	撲	pu1	pū	lao vào; vồ; dốc sức
铺	鋪	pu4	pù	cửa hiệu; giường phản
欺负	欺負	qi1fu5	qīfu	bắt nạt; ức hiếp
奇妙	奇妙	qi2miao4	qímiào	kỳ diệu; tuyệt diệu
企图	企圖	qi3tu2	qǐtú	mưu toan; ý đồ
起点	起點	qi3dian3	qǐdiǎn	điểm xuất phát; khởi điểm
起诉	起訴	qi3su4	qǐsù	khởi tố; khởi kiện
气氛	氣氛	qi4fen1	qìfēn	bầu không khí
恰当	恰當	qia4dang4	qiàdàng	thỏa đáng; thích hợp
恰好	恰好	qia4hao3	qiàhǎo	vừa hay; vừa đúng
恰恰	恰恰	qia4qia4	qiàqià	vừa vặn; đúng là
牵	牽	qian1	qiān	dắt; kéo; liên lụy
铅笔	鉛筆	qian1bi3	qiānbǐ	bút chì
谦虚	謙虛	qian1xu1	qiānxū	khiêm tốn
前方	前方	qian2fang1	qiánfāng	phía trước; tiền tuyến
前来	前來	qian2lai2	qiánlái	đến; tới (trang trọng)
潜力	潛力	qian2li4	qiánlì	tiềm lực; tiềm năng
强盗	強盜	qiang2dao4	qiángdào	kẻ cướp; cường đạo
强化	強化	qiang2hua4	qiánghuà	tăng cường; củng cố
强势	強勢	qiang2shi4	qiángshì	mạnh mẽ; thế mạnh
强壮	強壯	qiang2zhuang4	qiángzhuàng	khỏe mạnh; cường tráng
桥梁	橋梁	qiao2liang2	qiáoliáng	cầu; cầu nối
巧妙	巧妙	qiao3miao4	qiǎomiào	khéo léo; tài tình
茄子	茄子	qie2zi5	qiézi	cà tím
切实	切實	qie4shi2	qièshí	thiết thực; sát thực tế
侵犯	侵犯	qin1fan4	qīnfàn	xâm phạm; xâm hại
亲属	親屬	qin1shu3	qīnshǔ	thân thuộc; họ hàng
亲眼	親眼	qin1yan3	qīnyǎn	tận mắt
倾向	傾向	qing1xiang4	qīngxiàng	khuynh hướng; thiên về
清	清	qing1	qīng	trong; sạch; rõ ràng
清洁	清潔	qing1jie2	qīngjié	sạch sẽ; làm sạch
清洁工	清潔工	qing1jie2gong1	qīngjiégōng	công nhân vệ sinh; lao công
清明节	清明節	Qing1ming2jie2	Qīngmíngjié	Tết Thanh Minh
清洗	清洗	qing1xi3	qīngxǐ	rửa sạch; tẩy rửa; thanh trừng
情绪	情緒	qing2xu4	qíngxù	tâm trạng; cảm xúc
求职	求職	qiu2zhi2	qiúzhí	xin việc; tìm việc làm
球拍	球拍	qiu2pai1	qiúpāi	vợt (bóng)
球星	球星	qiu2xing1	qiúxīng	danh thủ; ngôi sao bóng đá
球员	球員	qiu2yuan2	qiúyuán	cầu thủ
区分	區分	qu1fen1	qūfēn	phân biệt; phân loại
渠道	渠道	qu2dao4	qúdào	kênh mương; kênh (phân phối, thông tin)
取款	取款	qu3kuan3	qǔkuǎn	rút tiền
取款机	取款機	qu3kuan3ji1	qǔkuǎnjī	máy rút tiền tự động; cây ATM
去掉	去掉	qu4diao4	qùdiào	bỏ đi; loại bỏ
权	權	quan2	quán	quyền; quyền lực
权力	權力	quan2li4	quánlì	quyền lực
全力	全力	quan2li4	quánlì	dốc toàn lực; hết sức
全新	全新	quan2xin1	quánxīn	hoàn toàn mới; mới toanh
券	券	quan4	quàn	phiếu; vé; chứng từ
缺陷	缺陷	que1xian4	quēxiàn	khiếm khuyết; khuyết điểm
却是	卻是	que4shi4	quèshì	nhưng lại; thật ra lại
让座	讓座	rang4zuo4	ràngzuò	nhường chỗ ngồi
热点	熱點	re4dian3	rèdiǎn	điểm nóng; tâm điểm chú ý
热水	熱水	re4shui3	rèshuǐ	nước nóng
热水器	熱水器	re4shui3qi4	rèshuǐqì	bình nóng lạnh; máy nước nóng
热线	熱線	re4xian4	rèxiàn	đường dây nóng
人权	人權	ren2quan2	rénquán	nhân quyền
认同	認同	ren4tong2	rèntóng	đồng tình; công nhận; bản sắc
日夜	日夜	ri4ye4	rìyè	ngày đêm; suốt ngày đêm
日语	日語	Ri4yu3	Rìyǔ	tiếng Nhật
融合	融合	rong2he2	rónghé	dung hợp; hòa vào nhau
融入	融入	rong2ru4	róngrù	hòa nhập vào; hòa mình vào
如	如	ru2	rú	như; giống như; ví như
如一	如一	ru2yi1	rúyī	như một; trước sau như một
乳制品	乳製品	ru3zhi4pin3	rǔzhìpǐn	sản phẩm từ sữa
入	入	ru4	rù	vào; gia nhập
入学	入學	ru4xue2	rùxué	nhập học
若	若	ruo4	ruò	nếu; như thể
塞	塞	sai1	sāi	nhét; nút lại; chèn vào
赛	賽	sai4	sài	thi đấu; cuộc thi
赛场	賽場	sai4chang3	sàichǎng	sân thi đấu; trường đua
三明治	三明治	san1ming2zhi4	sānmíngzhì	bánh mì kẹp; sandwich
丧失	喪失	sang4shi1	sàngshī	mất đi; đánh mất
山峰	山峰	shan1feng1	shānfēng	đỉnh núi
山谷	山谷	shan1gu3	shāngǔ	thung lũng; hẻm núi
山坡	山坡	shan1po1	shānpō	sườn núi; sườn đồi
伤口	傷口	shang1kou3	shāngkǒu	vết thương
伤亡	傷亡	shang1wang2	shāngwáng	thương vong
伤员	傷員	shang1yuan2	shāngyuán	người bị thương
商城	商城	shang1cheng2	shāngchéng	trung tâm thương mại
上当	上當	shang4dang4	shàngdàng	bị lừa; mắc lừa
上帝	上帝	Shang4di4	Shàngdì	Thượng đế; Chúa Trời
上市	上市	shang4shi4	shàngshì	ra mắt thị trường; niêm yết (cổ phiếu)
上台	上台	shang4tai2	shàngtái	lên sân khấu; lên nắm quyền
上演	上演	shang4yan3	shàngyǎn	công diễn; trình chiếu
勺	勺	shao2	sháo	cái muôi; cái thìa lớn
少儿	少兒	shao4er2	shàoér	thiếu nhi; trẻ em
舌头	舌頭	she2tou5	shétou	lưỡi
设计师	設計師	she4ji4shi1	shèjìshī	nhà thiết kế; kiến trúc sư
涉及	涉及	she4ji2	shèjí	liên quan đến; đề cập đến
深化	深化	shen1hua4	shēnhuà	đi sâu; làm sâu sắc thêm
深深	深深	shen1shen1	shēnshēn	sâu sắc; sâu đậm
审查	審查	shen3cha2	shěnchá	thẩm tra; kiểm duyệt
升级	升級	sheng1ji2	shēngjí	lên cấp; nâng cấp; leo thang
升学	升學	sheng1xue2	shēngxué	học lên (cấp cao hơn)
升值	升值	sheng1zhi2	shēngzhí	tăng giá trị; lên giá
生活费	生活費	sheng1huo2fei4	shēnghuófèi	chi phí sinh hoạt
省钱	省錢	sheng3qian2	shěngqián	tiết kiệm tiền
圣诞节	聖誕節	Sheng4dan4jie2	Shèngdànjié	lễ Giáng sinh; Nô-en
盛行	盛行	sheng4xing2	shèngxíng	thịnh hành; phổ biến rộng
师父	師父	shi1fu5	shīfu	sư phụ; thầy
师生	師生	shi1sheng1	shīshēng	thầy và trò; giáo viên và học sinh
时而	時而	shi2er2	shíér	lúc thì; thỉnh thoảng
时节	時節	shi2jie2	shíjié	mùa; dịp; thời tiết
时期	時期	shi2qi1	shíqī	thời kỳ; giai đoạn
时时	時時	shi2shi2	shíshí	luôn luôn; thường xuyên
时装	時裝	shi2zhuang1	shízhuāng	thời trang; quần áo mốt
识	識	shi2	shí	biết; nhận biết; kiến thức
识字	識字	shi2zi4	shízì	biết chữ; học chữ
实践	實踐	shi2jian4	shíjiàn	thực tiễn; thực hành
食欲	食慾	shi2yu4	shíyù	cảm giác thèm ăn; khẩu vị
市民	市民	shi4min2	shìmín	thị dân; cư dân thành phố
事后	事後	shi4hou4	shìhòu	sau khi xảy ra; sau đó
试点	試點	shi4dian3	shìdiǎn	thí điểm; làm thử
适当	適當	shi4dang4	shìdàng	thích đáng; thỏa đáng
收藏	收藏	shou1cang2	shōucáng	sưu tầm; cất giữ; lưu lại
收取	收取	shou1qu3	shōuqǔ	thu; thu nhận
收养	收養	shou1yang3	shōuyǎng	nhận nuôi; nuôi dưỡng
手续费	手續費	shou3xu4fei4	shǒuxùfèi	phí thủ tục; phí dịch vụ
首次	首次	shou3ci4	shǒucì	lần đầu tiên
首脑	首腦	shou3nao3	shǒunǎo	người đứng đầu; nguyên thủ
首席	首席	shou3xi2	shǒuxí	trưởng; đứng đầu (chức danh)
首相	首相	shou3xiang4	shǒuxiàng	thủ tướng
书房	書房	shu1fang2	shūfáng	phòng đọc sách; thư phòng
薯片	薯片	shu3pian4	shǔpiàn	khoai tây chiên lát
薯条	薯條	shu3tiao2	shǔtiáo	khoai tây chiên que
双打	雙打	shuang1da3	shuāngdǎ	đánh đôi (thể thao)
爽	爽	shuang3	shuǎng	sảng khoái; mát mẻ; thẳng thắn
水泥	水泥	shui3ni2	shuǐní	xi măng
税	稅	shui4	shuì	thuế
顺	順	shun4	shùn	thuận; xuôi theo; sắp xếp
说明书	說明書	shuo1ming2shu1	shuōmíngshū	bản hướng dẫn sử dụng
说实话	說實話	shuo1shi2hua4	shuōshíhuà	nói thật; thành thật mà nói
司长	司長	si1zhang3	sīzhǎng	vụ trưởng; cục trưởng
死亡	死亡	si3wang2	sǐwáng	tử vong; chết
四处	四處	si4chu4	sìchù	khắp nơi; bốn phía
寺	寺	si4	sì	chùa; đền
送礼	送禮	song4li3	sònglǐ	tặng quà; biếu quà
送行	送行	song4xing2	sòngxíng	tiễn; tiễn chân
素质	素質	su4zhi4	sùzhì	tố chất; phẩm chất
算了	算了	suan4le5	suànle	thôi bỏ đi; thôi vậy
算是	算是	suan4shi4	suànshì	coi như; kể như
虽	雖	sui1	suī	tuy; mặc dù
岁数	歲數	sui4shu5	suìshu	tuổi; số tuổi
踏实	踏實	ta1shi5	tāshi	vững dạ, yên tâm; chắc chắn, thiết thực
塔	塔	ta3	tǎ	tháp
踏	踏	ta4	tà	giẫm; bước lên
台灯	檯燈	tai2deng1	táidēng	đèn bàn
太阳能	太陽能	tai4yang2neng2	tàiyángnéng	năng lượng mặt trời
叹气	嘆氣	tan4qi4	tànqì	thở dài
探索	探索	tan4suo3	tànsuǒ	tìm tòi; thăm dò khám phá
探讨	探討	tan4tao3	tàntǎo	tìm hiểu bàn bạc; nghiên cứu thảo luận
趟	趟	tang4	tàng	(lượng từ) chuyến, lượt
掏	掏	tao1	tāo	móc ra; lấy ra (từ túi)
特	特	te4	tè	đặc biệt; riêng biệt
特大	特大	te4da4	tèdà	cực lớn; đặc biệt lớn
特地	特地	te4di4	tèdì	đặc biệt; cố ý (làm gì)
特快	特快	te4kuai4	tèkuài	tốc hành; chuyển phát nhanh
特意	特意	te4yi4	tèyì	cố ý; đặc biệt (làm gì)
疼痛	疼痛	teng2tong4	téngtòng	đau; đau đớn
踢	踢	ti1	tī	đá (bóng)
提交	提交	ti2jiao1	tíjiāo	nộp; đệ trình
提升	提升	ti2sheng1	tíshēng	nâng cao; thăng chức
天然	天然	tian1ran2	tiānrán	tự nhiên; thiên nhiên
天堂	天堂	tian1tang2	tiāntáng	thiên đường
天下	天下	tian1xia4	tiānxià	thiên hạ; thế giới
添	添	tian1	tiān	thêm; bổ sung
田	田	tian2	tián	ruộng; đồng ruộng
田径	田徑	tian2jing4	tiánjìng	điền kinh
跳水	跳水	tiao4shui3	tiàoshuǐ	nhảy cầu; lao xuống nước
听取	聽取	ting1qu3	tīngqǔ	lắng nghe; tiếp thu (ý kiến)
通报	通報	tong1bao4	tōngbào	thông báo; thông tri
通道	通道	tong1dao4	tōngdào	lối đi; đường thông; kênh
通红	通紅	tong1hong2	tōnghóng	đỏ rực; đỏ bừng
通话	通話	tong1hua4	tōnghuà	nói chuyện điện thoại; cuộc gọi
通行	通行	tong1xing2	tōngxíng	lưu thông; thông hành; thông dụng
通讯	通訊	tong1xun4	tōngxùn	thông tin liên lạc; bản tin
同	同	tong2	tóng	cùng; giống nhau; với
同胞	同胞	tong2bao1	tóngbāo	đồng bào; anh chị em ruột
同行	同行	tong2hang2	tóngháng	người cùng nghề; cùng ngành
同期	同期	tong2qi1	tóngqī	cùng kỳ; cùng thời điểm
同一	同一	tong2yi1	tóngyī	cùng một; đồng nhất
铜牌	銅牌	tong2pai2	tóngpái	huy chương đồng; biển đồng
头疼	頭疼	tou2teng2	tóuténg	đau đầu; nhức đầu
投票	投票	tou2piao4	tóupiào	bỏ phiếu; bầu cử
透露	透露	tou4lu4	tòulù	tiết lộ; hé lộ
图书	圖書	tu2shu1	túshū	sách vở; sách báo
徒弟	徒弟	tu2di4	túdì	đồ đệ; học trò
途径	途徑	tu2jing4	tújìng	con đường; cách thức
团队	團隊	tuan2dui4	tuánduì	đội ngũ; nhóm; ê-kíp
推出	推出	tui1chu1	tuīchū	tung ra; ra mắt (sản phẩm)
退票	退票	tui4piao4	tuìpiào	trả vé; hoàn vé
吞	吞	tun1	tūn	nuốt; nuốt chửng
托	托	tuo1	tuō	nâng, đỡ; nhờ cậy; cái khay
拖	拖	tuo1	tuō	kéo; lê; kéo dài (thời gian)
拖鞋	拖鞋	tuo1xie2	tuōxié	dép lê
挖	挖	wa1	wā	đào; khoét; moi
娃娃	娃娃	wa2wa5	wáwa	em bé; búp bê
哇	哇	wa1	wā	ồ! chà! (thán từ kinh ngạc)
外币	外幣	wai4bi4	wàibì	ngoại tệ
外部	外部	wai4bu4	wàibù	bên ngoài; ngoại vi
外出	外出	wai4chu1	wàichū	ra ngoài; đi xa
外观	外觀	wai4guan1	wàiguān	bề ngoài; ngoại hình
外科	外科	wai4ke1	wàikē	ngoại khoa
外来	外來	wai4lai2	wàilái	ngoại lai; từ bên ngoài
外头	外頭	wai4tou5	wàitou	bên ngoài; ngoài kia
外衣	外衣	wai4yi1	wàiyī	áo khoác ngoài; vỏ bọc bề ngoài
外资	外資	wai4zi1	wàizī	vốn nước ngoài; đầu tư nước ngoài
弯曲	彎曲	wan1qu1	wānqū	cong; uốn cong
顽皮	頑皮	wan2pi2	wánpí	nghịch ngợm; tinh nghịch
顽强	頑強	wan2qiang2	wánqiáng	ngoan cường; kiên cường
王后	王后	wang2hou4	wánghòu	hoàng hậu
王子	王子	wang2zi3	wángzǐ	hoàng tử
网吧	網吧	wang3ba1	wǎngbā	quán net; quán internet
网页	網頁	wang3ye4	wǎngyè	trang web
往后	往後	wang3hou4	wǎnghòu	về sau; từ nay trở đi
往来	往來	wang3lai2	wǎnglái	qua lại; giao thiệp
往年	往年	wang3nian2	wǎngnián	những năm trước; mọi năm
望见	望見	wang4jian4	wàngjiàn	nhìn thấy (từ xa)
危机	危機	wei1ji1	wēijī	khủng hoảng; nguy cơ
威胁	威脅	wei1xie2	wēixié	uy hiếp; đe dọa
微波炉	微波爐	wei1bo1lu2	wēibōlú	lò vi sóng
维生素	維生素	wei2sheng1su4	wéishēngsù	vitamin
为此	為此	wei4ci3	wèicǐ	vì việc này; do đó
